"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/27/2024 01:12:56:877 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","mean [age] of turtles"
"121","1","1","1.3","no-visualization","500","300","1","4","0.2988765401471931","45.872"
"122","2","1","1.3","no-visualization","500","300","1.484","4","0.3415928790850888","44.574"
"123","3","1","1.3","no-visualization","500","300","1.732","4","0.42903501642986114","35.792"
"124","4","1","1.3","no-visualization","500","300","1.844","4","0.4670138035945686","34.704"
"125","5","1","1.3","no-visualization","500","300","1.922","4","0.44577611741283485","34.264"
"126","6","1","1.3","no-visualization","500","300","2.062","4","0.4687576534415837","33.706"
"127","7","1","1.3","no-visualization","500","300","2.094","4","0.4673650786387287","34.036"
"129","9","1","1.3","no-visualization","500","300","2.258","4","0.48594111262009476","30.628"
"130","10","1","1.3","no-visualization","500","300","2.404","4","0.5080755117603959","30.55"
"131","1","1","1.4","no-visualization","500","300","1","4","0.32221133301401544","42.394"
"128","8","1","1.3","no-visualization","500","300","2.156","4","0.4881763161870232","32.924"
"132","2","1","1.4","no-visualization","500","300","1.41","4","0.35274397207919356","43.976"
"133","3","1","1.4","no-visualization","500","300","1.748","4","0.4496151269349326","39.372"
"136","6","1","1.4","no-visualization","500","300","2.062","4","0.4855122162162159","34.682"
"134","4","1","1.4","no-visualization","500","300","1.87","4","0.4740608043031854","34.466"
"135","5","1","1.4","no-visualization","500","300","1.94","4","0.4650435709691346","34.754"
"137","7","1","1.4","no-visualization","500","300","2.164","4","0.4946218269145247","34.788"
"138","8","1","1.4","no-visualization","500","300","2.274","4","0.5083062801747993","33.702"
"139","9","1","1.4","no-visualization","500","300","2.392","4","0.509937200383509","31.746"
"142","2","1","1.5","no-visualization","500","300","1.48","4","0.35322558513043595","41.542"
"140","10","1","1.4","no-visualization","500","300","2.406","4","0.5034245916123092","31.326"
"145","5","1","1.5","no-visualization","500","300","2.03","4","0.4794876728265254","33.99"
"141","1","1","1.5","no-visualization","500","300","1","4","0.3241278556881004","44.158"
"146","6","1","1.5","no-visualization","500","300","2.14","4","0.5099024091108192","35.324"
"143","3","1","1.5","no-visualization","500","300","1.808","4","0.46559871703492495","39.75"
"144","4","1","1.5","no-visualization","500","300","1.974","4","0.49282701502732285","36.366"
"148","8","1","1.5","no-visualization","500","300","2.204","4","0.5021855449491235","35.114"
"147","7","1","1.5","no-visualization","500","300","2.152","4","0.4930652540657264","35.396"
"150","10","1","1.5","no-visualization","500","300","2.528","4","0.5111200508669388","31.902"
"152","2","1","1.6","no-visualization","500","300","1.436","4","0.3297040035987406","43.416"
"149","9","1","1.5","no-visualization","500","300","2.32","4","0.5091973402992164","33.798"
"151","1","1","1.6","no-visualization","500","300","1","4","0.32220084229696655","44.458"
"153","3","1","1.6","no-visualization","500","300","1.914","4","0.48063908502562647","39.528"
"154","4","1","1.6","no-visualization","500","300","1.93","4","0.46215008183576617","36.868"
"155","5","1","1.6","no-visualization","500","300","2.108","4","0.5022417720350711","34.95"
"157","7","1","1.6","no-visualization","500","300","2.2","4","0.5081340360880819","33.388"
"158","8","1","1.6","no-visualization","500","300","2.318","4","0.4950018112593797","35.038"
"156","6","1","1.6","no-visualization","500","300","2.054","4","0.4896101551430685","34.984"
"159","9","1","1.6","no-visualization","500","300","2.49","4","0.520453727323591","32.752"
"160","10","1","1.6","no-visualization","500","300","2.428","4","0.4919668735162286","32.35"
"161","1","1","1.7","no-visualization","500","300","1","4","0.3372548996286776","43.182"
"162","2","1","1.7","no-visualization","500","300","1.494","4","0.35442414392803634","43.688"
"163","3","1","1.7","no-visualization","500","300","1.842","4","0.4671363134438627","39.838"
"164","4","1","1.7","no-visualization","500","300","1.998","4","0.4789442753761591","38.07"
