"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"120","10","1","1.2","no-visualization","500","300","500","2.382","3.698","0.47313525535083933","true"
"122","2","1","1.3","no-visualization","500","300","500","1.456","3.726","0.36910677420221616","true"
"123","3","1","1.3","no-visualization","500","300","500","1.668","3.782","0.43566681209824537","true"
"126","6","1","1.3","no-visualization","500","300","500","2.12","3.736","0.47800676009305315","true"
"124","4","1","1.3","no-visualization","500","300","500","1.842","3.65","0.4575615725882141","true"
"125","5","1","1.3","no-visualization","500","300","500","1.946","3.7","0.4770798623253757","true"
"127","7","1","1.3","no-visualization","500","300","500","2.054","3.608","0.4831566942429416","true"
"129","9","1","1.3","no-visualization","500","300","500","2.208","3.73","0.498573900967838","true"
"128","8","1","1.3","no-visualization","500","300","500","2.2","3.594","0.49285896009550634","true"
"131","1","1","1.4","no-visualization","500","300","500","1","3.608","0.33405880269570565","true"
"130","10","1","1.3","no-visualization","500","300","500","2.222","3.666","0.47707150550760447","true"
"132","2","1","1.4","no-visualization","500","300","500","1.454","3.726","0.3754251722496946","true"
"135","5","1","1.4","no-visualization","500","300","500","2.074","3.762","0.49836517583605083","true"
"133","3","1","1.4","no-visualization","500","300","500","1.862","3.652","0.4694563635152752","true"
"136","6","1","1.4","no-visualization","500","300","500","2.146","3.544","0.49950057694126515","true"
"134","4","1","1.4","no-visualization","500","300","500","1.896","3.712","0.4673457484381738","true"
"137","7","1","1.4","no-visualization","500","300","500","2.212","3.804","0.5024622760722515","true"
"140","10","1","1.4","no-visualization","500","300","500","2.522","3.824","0.5127636456251715","true"
"138","8","1","1.4","no-visualization","500","300","500","2.188","3.89","0.5131659831882874","true"
