"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/25/2024 22:08:12:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"154","4","1","2","no-visualization","500","300","500","1.942","3.798","0.48230824746401507","true"
"153","3","1","2","no-visualization","500","300","500","1.834","3.74","0.44133245749613603","true"
"156","6","1","2","no-visualization","500","300","500","2.078","3.648","0.5111358578176284","true"
"155","5","1","2","no-visualization","500","300","500","2.026","3.64","0.48485383577738095","true"
"157","7","1","2","no-visualization","500","300","500","2.242","3.706","0.4955645565247429","true"
"158","8","1","2","no-visualization","500","300","500","2.364","3.786","0.5000594565019151","true"
"159","9","1","2","no-visualization","500","300","500","2.498","3.682","0.5195699245133096","true"
"161","1","1","0.25","no-visualization","500","300","500","1","3.67","0.2597383312875711","true"
"160","10","1","2","no-visualization","500","300","500","2.464","3.662","0.5224815205913409","true"
"162","2","1","0.25","no-visualization","500","300","500","1.188","3.608","0.2894828000137185","true"
"163","3","1","0.25","no-visualization","500","300","500","1.322","3.666","0.2886106769476573","true"
"164","4","1","0.25","no-visualization","500","300","500","1.508","3.538","0.2858560541334883","true"
"165","5","1","0.25","no-visualization","500","300","500","1.534","3.716","0.3054018201875347","true"
"166","6","1","0.25","no-visualization","500","300","500","1.744","3.626","0.3001676277517862","true"
"168","8","1","0.25","no-visualization","500","300","500","1.982","3.628","0.3074289915966387","true"
"169","9","1","0.25","no-visualization","500","300","500","2.214","3.548","0.2961642838766582","true"
"167","7","1","0.25","no-visualization","500","300","500","1.796","3.528","0.319618449883017","true"
"171","1","1","0.5","no-visualization","500","300","500","1","3.616","0.2518131733131733","true"
"170","10","1","0.25","no-visualization","500","300","500","2.39","3.724","0.3093104345165237","true"
"173","3","1","0.5","no-visualization","500","300","500","1.464","3.704","0.42507351949278277","true"
"172","2","1","0.5","no-visualization","500","300","500","1.37","3.882","0.41769174103980755","true"
"174","4","1","0.5","no-visualization","500","300","500","1.666","3.748","0.4645395702809697","true"
"175","5","1","0.5","no-visualization","500","300","500","1.618","3.638","0.46141351715395007","true"
"176","6","1","0.5","no-visualization","500","300","500","1.856","3.74","0.45878891695611","true"
"178","8","1","0.5","no-visualization","500","300","500","2.036","3.684","0.46290547305540347","true"
"182","2","1","0.75","no-visualization","500","300","500","1.412","3.624","0.38502273753585126","true"
"180","10","1","0.5","no-visualization","500","300","500","2.266","3.618","0.46732529922938154","true"
"181","1","1","0.75","no-visualization","500","300","500","1","3.608","0.24481162907781445","true"
"179","9","1","0.5","no-visualization","500","300","500","2.22","3.678","0.4560096364432765","true"
"177","7","1","0.5","no-visualization","500","300","500","1.946","3.654","0.45033401478219826","true"
"183","3","1","0.75","no-visualization","500","300","500","1.604","3.73","0.4266337555548838","true"
"184","4","1","0.75","no-visualization","500","300","500","1.838","3.788","0.4715979381443302","true"
"186","6","1","0.75","no-visualization","500","300","500","1.948","3.67","0.4578875943312383","true"
"185","5","1","0.75","no-visualization","500","300","500","1.806","3.588","0.4519042646313564","true"
"187","7","1","0.75","no-visualization","500","300","500","2.06","3.646","0.47541294680124485","true"
"188","8","1","0.75","no-visualization","500","300","500","2.204","3.654","0.47774298960831374","true"
"189","9","1","0.75","no-visualization","500","300","500","2.374","3.554","0.48469019969180405","true"
"191","1","1","1","no-visualization","500","300","500","1","3.546","0.31849460266761304","true"
"190","10","1","0.75","no-visualization","500","300","500","2.406","3.492","0.47413720070805276","true"
"192","2","1","1","no-visualization","500","300","500","1.486","3.59","0.378743647531928","true"
"193","3","1","1","no-visualization","500","300","500","1.64","3.69","0.4431041550403327","true"
"195","5","1","1","no-visualization","500","300","500","1.93","3.622","0.47383013519406897","true"
"194","4","1","1","no-visualization","500","300","500","1.768","3.736","0.44491432488005456","true"
"196","6","1","1","no-visualization","500","300","500","1.926","3.66","0.4553204498977506","true"
"197","7","1","1","no-visualization","500","300","500","1.97","3.728","0.4649780627066008","true"
"198","8","1","1","no-visualization","500","300","500","2.172","3.64","0.46759239069974423","true"
"200","10","1","1","no-visualization","500","300","500","2.14","3.632","0.47647153806847203","true"
"201","1","1","1.25","no-visualization","500","300","500","1","3.426","0.3210071653768985","true"
"203","3","1","1.25","no-visualization","500","300","500","1.658","3.792","0.43969583635792364","true"
"202","2","1","1.25","no-visualization","500","300","500","1.448","3.59","0.3785730441844376","true"
"199","9","1","1","no-visualization","500","300","500","2.236","3.66","0.4716965556504414","true"
"204","4","1","1.25","no-visualization","500","300","500","1.788","3.736","0.4686480862751628","true"
"206","6","1","1.25","no-visualization","500","300","500","1.98","3.748","0.4572847526631951","true"
"205","5","1","1.25","no-visualization","500","300","500","1.878","3.604","0.4640815950771619","true"
"208","8","1","1.25","no-visualization","500","300","500","2.188","3.682","0.5029462999913248","true"
"210","10","1","1.25","no-visualization","500","300","500","2.274","3.586","0.4775610637105315","true"
"207","7","1","1.25","no-visualization","500","300","500","1.986","3.698","0.4781760082584522","true"
"209","9","1","1.25","no-visualization","500","300","500","2.332","3.604","0.48896692430533384","true"
"211","1","1","1.5","no-visualization","500","300","500","1","3.61","0.33873708348262277","true"
"213","3","1","1.5","no-visualization","500","300","500","1.856","3.732","0.471516283108988","true"
"212","2","1","1.5","no-visualization","500","300","500","1.426","3.622","0.3886897065584425","true"
"214","4","1","1.5","no-visualization","500","300","500","1.868","3.828","0.48723189428443126","true"
"215","5","1","1.5","no-visualization","500","300","500","2.068","3.734","0.4977346882724531","true"
"216","6","1","1.5","no-visualization","500","300","500","2.144","3.71","0.4993677666595697","true"
"217","7","1","1.5","no-visualization","500","300","500","2.21","3.86","0.5062607676530912","true"
"218","8","1","1.5","no-visualization","500","300","500","2.3","3.702","0.49384523692247084","true"
"220","10","1","1.5","no-visualization","500","300","500","2.584","3.798","0.5071923852624329","true"
"221","1","1","1.75","no-visualization","500","300","500","1","3.716","0.3436192880903713","true"
"222","2","1","1.75","no-visualization","500","300","500","1.468","3.718","0.3517575516871867","true"
"219","9","1","1.5","no-visualization","500","300","500","2.31","3.65","0.5256946936153611","true"
"223","3","1","1.75","no-visualization","500","300","500","1.87","3.808","0.4726181117457947","true"
"224","4","1","1.75","no-visualization","500","300","500","1.966","3.75","0.4642479008483502","true"
"227","7","1","1.75","no-visualization","500","300","500","2.106","3.778","0.4787002216965624","true"
"225","5","1","1.75","no-visualization","500","300","500","2.044","3.798","0.49241346278317133","true"
"226","6","1","1.75","no-visualization","500","300","500","2.202","3.682","0.5007010789976221","true"
"228","8","1","1.75","no-visualization","500","300","500","2.3","3.716","0.5204906912442401","true"
"231","1","1","2","no-visualization","500","300","500","1","3.6","0.37773371897742153","true"
"229","9","1","1.75","no-visualization","500","300","500","2.228","3.696","0.5051158246271182","true"
"232","2","1","2","no-visualization","500","300","500","1.464","3.652","0.41176379074876795","true"
"230","10","1","1.75","no-visualization","500","300","500","2.41","3.608","0.5034885823602702","true"
"233","3","1","2","no-visualization","500","300","500","1.878","3.762","0.4619007303982888","true"
"234","4","1","2","no-visualization","500","300","500","1.956","3.59","0.46281779886303215","true"
"235","5","1","2","no-visualization","500","300","500","2.07","3.828","0.5054676794050164","true"
"237","7","1","2","no-visualization","500","300","500","2.14","3.686","0.49317119497894096","true"
"239","9","1","2","no-visualization","500","300","500","2.524","3.706","0.5175870487403684","true"
"236","6","1","2","no-visualization","500","300","500","2.152","3.862","0.5139874198220572","true"
